Alcohol_Percent,Link,Name,Price_Pound,Region,Volume
40% abv,https://www.whiskyshop.com/cragganmore-12-year-old,Cragganmore 12 Year Old,52.00,Speyside,70cl
17% abv,https://www.whiskyshop.com/arran-gold-cream-liqueur,Arran Gold Cream Liqueur,22.00,,70cl
46% abv,https://www.whiskyshop.com/glen-scotia-18-year-old,Glen Scotia 18 Year Old,89.00,Campbeltown,70cl
40% abv,https://www.whiskyshop.com/dalmore-king-alexander-iii,Dalmore King Alexander III,189.00,Highland,70cl
46% abv,https://www.whiskyshop.com/inchmurrin-12-year-old,Loch Lomond Inchmurrin 12 Year Old,46.00,Highland,70cl
46% abv,https://www.whiskyshop.com/glenmorangie-signet,Glenmorangie Signet,175.00,Highland,70cl
45.8% abv,https://www.whiskyshop.com/talisker-distillers-edition,Talisker Distillers Edition,67.00,Island,70cl
35% abv,https://www.whiskyshop.com/glayva,Glayva,26.00,,50cl
43% abv,https://www.whiskyshop.com/caol-ila-25-year-old,Caol Ila 25 year old,225.00,Islay,70cl
35% abv,https://www.whiskyshop.com/old-pulteney-stroma-liqueur,Old Pulteney Stroma Liqueur,29.00,,50cl
47.9% abv,https://www.whiskyshop.com/fettercairn-50-year-old,Fettercairn 50 Year Old,"17,995.00",Highland,70cl
40% abv,https://www.whiskyshop.com/glenmorangie-original,Glenmorangie Original,45.00,Highland,70cl
40% abv,https://www.whiskyshop.com/the-black-grouse,The Black Grouse,28.00,Scotland,70cl
44.1% abv,https://www.whiskyshop.com/singleton-54-year-old,The Singleton 54 Year Old Paragon of Time II,"28,850.00",Speyside,70cl
43.6% abv,https://www.whiskyshop.com/the-loch-fyne-the-living-cask-1745,The Loch Fyne The Living Cask 1745,75.00,Islay,50cl
46% abv,https://www.whiskyshop.com/ardbeg-10-year-old-whisky,Ardbeg 10 Year Old,39.94,Islay,70cl
43% abv,https://www.whiskyshop.com/auchroisk-10-year-old,Auchroisk 10 Year Old,48.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/auchentoshan-12-year-old,Auchentoshan 12 Year Old,47.00,Lowland,70cl
40% abv,https://www.whiskyshop.com/balvenie-12-year-old-doublewood,Balvenie 12 Year Old DoubleWood,44.95,Speyside,70cl
43% abv,https://www.whiskyshop.com/blair-athol-12-year-old,Blair Athol 12 Year Old,52.00,Highland,70cl
43% abv,https://www.whiskyshop.com/caol-ila-12-year-old,Caol Ila 12 Year Old,37.50,Islay,70cl
40% abv,https://www.whiskyshop.com/cardhu-12-year-old,Cardhu 12 Year Old,50.00,Speyside,70cl
46% abv,https://www.whiskyshop.com/craigellachie-13-year-old,Craigellachie 13 Year Old,55.00,Speyside,70cl
46.3% abv,https://www.whiskyshop.com/deanston-12-year-old,Deanston 12 Year Old,49.00,Highland,70cl
43% abv,https://www.whiskyshop.com/dalwhinnie-15-year-old,Dalwhinnie 15 Year Old,40.19,Highland,70cl
46.3% abv,https://www.whiskyshop.com/ledaig-10-year-old-un-chill-filtered,Ledaig 10 Year Old Un Chill Filtered,50.00,Island,70cl
43% abv,https://www.whiskyshop.com/glenmorangie-18-year-old,Glenmorangie 18 Year Old,99.00,Highland,70cl
43% abv,https://www.whiskyshop.com/glendronach-12-year-old,GlenDronach 12 Year Old,49.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/glenfiddich-12-year-old,Glenfiddich 12 Year Old,45.00,Speyside,70cl
43% abv,https://www.whiskyshop.com/oban-14-year-old,Oban 14 Year Old,65.00,Highland,70cl
40% abv,https://www.whiskyshop.com/old-pulteney-12-year-old,Old Pulteney 12 Year Old,44.00,Highland,70cl
40% abv,https://www.whiskyshop.com/singleton-of-dufftown-12-year-old,Singleton of Dufftown 12 Year Old,34.99,Speyside,70cl
45.8% abv,https://www.whiskyshop.com/talisker-10-year-old,Talisker 10 Year Old,39.99,Island,70cl
57.1% abv,https://www.whiskyshop.com/ardbeg-corryvreckan,Ardbeg Corryvreckan,80.00,Islay,70cl
40% abv,https://www.whiskyshop.com/the-loch-fyne-chocolate-orange-liqueur,The Loch Fyne Chocolate &amp; Orange Liqueur,29.00,,50cl
43% abv,https://www.whiskyshop.com/ballantine-s-17-year-old-scapa-edition,Ballantine's 17 Year Old Scapa Edition,100.00,,70cl
40% abv,https://www.whiskyshop.com/the-loch-fyne-blend,The Loch Fyne Blend,24.00,,50cl
40% abv,https://www.whiskyshop.com/bowmore-12-year-old,Bowmore 12 Year Old,46.00,Islay,70cl
50% abv,https://www.whiskyshop.com/bruichladdich-islay-barley,Bruichladdich Islay Barley,67.00,Islay,70cl
46.3% abv,https://www.whiskyshop.com/bunnahabhain-12-year-old,Bunnahabhain 12 Year Old,47.00,Islay,70cl
46% abv,https://www.whiskyshop.com/clynelish-14-year-old,Clynelish 14 Year Old,51.00,Highland,70cl
40% abv,https://www.whiskyshop.com/cardhu-15-year-old,Cardhu 15 Year Old,65.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/dalmore-15-year-old,Dalmore 15 Year Old,72.00,Highland,70cl
43% abv,https://www.whiskyshop.com/dalwhinnie-winters-gold,Dalwhinnie Winter's Gold,49.00,Highland,70cl
40% abv,https://www.whiskyshop.com/macallan-12-year-old-sherry-oak,Macallan 12 Year Old Sherry Oak,69.99,Speyside,70cl
45.8% abv,https://www.whiskyshop.com/talisker-18-year-old,Talisker 18 Year Old,99.00,Island,70cl
43% abv,https://www.whiskyshop.com/oban-distillers-edition,Oban Distillers Edition,59.95,Highland,70cl
46.3% abv,https://www.whiskyshop.com/deanston-18-year-old,Deanston 18 Year Old,90.00,Highland,70cl
40% abv,https://www.whiskyshop.com/glen-moray-12-year-old,Glen Moray 12 Year Old,37.00,Speyside,70cl
46% abv,https://www.whiskyshop.com/glen-scotia-double-cask,Glen Scotia Double Cask,31.90,Campbeltown,70cl
46% abv,https://www.whiskyshop.com/clynelish-14-year-old-20cl,Clynelish 14 Year Old 20cl,22.50,Highland,20cl
46% abv,https://www.whiskyshop.com/loch-lomond-18-year-old,Loch Lomond 18 Year Old,78.00,Highland,70cl
54.2% abv,https://www.whiskyshop.com/ardbeg-uigeadail,Ardbeg Uigeadail,67.00,Islay,70cl
